State/UT,households,substitute_households,pct_substitute_households
Delhi,1023,533,52.101661779081134
Chandigarh,383,146,38.1201044386423
Goa,448,108,24.107142857142858
Maharashtra,7991,1684,21.07370792141159
Karnataka,4144,820,19.787644787644787
Punjab,3191,613,19.21027890943278
D & N Haveli and Daman & Diu,320,55,17.1875
Sikkim,768,124,16.145833333333332
Puducherry,576,84,14.583333333333334
Lakshadweep,192,28,14.583333333333334
Haryana,2616,378,14.44954128440367
Kerala,4528,642,14.178445229681978
Rajasthan,4217,591,14.014702395067584
Jammu & Kashmir,3128,433,13.842710997442456
Chhattisgarh,2232,308,13.799283154121865
Ladakh,256,34,13.28125
Tamil Nadu,6648,845,12.710589651022865
Gujarat,3502,436,12.450028555111365
A & N Islands,496,61,12.298387096774194
Himachal Pradesh,2040,239,11.715686274509803
West Bengal,6398,734,11.472335104720225
Uttar Pradesh,9080,1008,11.101321585903083
Telangana,2864,281,9.811452513966481
Uttarakhand,1728,167,9.664351851851851
Madhya Pradesh,4615,429,9.295774647887324
Andhra Pradesh,3960,318,8.030303030303031
Arunachal Pradesh,1718,134,7.79976717112922
Tripura,1856,96,5.172413793103448
Odisha,3935,158,4.015247776365946
Assam,3504,125,3.567351598173516
Bihar,4544,152,3.3450704225352115
Meghalaya,1280,39,3.046875
Jharkhand,2752,79,2.870639534883721
Manipur,2464,49,1.9886363636363635
Nagaland,1024,1,0.09765625
Mizoram,1536,1,0.06510416666666667
