sex,sector,contract_type,n,wt,n_with_second_work,pct_with_second_work
female,rural,written job contract: more than 3 years,1594,3162187258,244,11.2
female,rural,written job contract: more than 1 year to 3 years,222,446089136,37,10.4
male,rural,written job contract: more than 3 years,3852,8282158087,396,7.2
female,rural,no written job contract,1907,4691926046,145,5.8
male,rural,written job contract: for 1 year or less,659,1908446200,46,5.2
female,rural,written job contract: for 1 year or less,215,495597278,14,5.1
male,rural,no written job contract,6930,18891979226,384,4.6
male,rural,written job contract: more than 1 year to 3 years,595,1682442548,41,2.6
female,urban,no written job contract,4355,7933763332,83,1.6
male,urban,no written job contract,11454,19971485317,182,1.4
female,urban,written job contract: more than 3 years,2827,4050808636,48,1.3
male,urban,written job contract: for 1 year or less,1582,3222871736,27,1.2
female,urban,written job contract: for 1 year or less,618,1080976441,8,1.1
male,urban,written job contract: more than 3 years,8037,12551665865,111,0.8
male,urban,written job contract: more than 1 year to 3 years,1492,2897295057,8,0.5
female,urban,written job contract: more than 1 year to 3 years,558,989082784,6,0.5
