sex,sector,contract_type,n,wt,pct_with_second_work,avg_week_hours_if_second_work,median_week_hours_if_second_work
female,rural,written job contract: more than 3 years,1594,3162187258,11.2,49.9,49.0
female,rural,written job contract: more than 1 year to 3 years,222,446089136,10.4,47.8,48.0
male,rural,written job contract: more than 3 years,3852,8282158087,7.2,55.6,56.0
female,rural,no written job contract,1907,4691926046,5.8,49.0,50.0
male,rural,written job contract: for 1 year or less,659,1908446200,5.2,59.5,60.5
female,rural,written job contract: for 1 year or less,215,495597278,5.1,52.5,52.0
male,rural,no written job contract,6930,18891979226,4.6,58.9,60.0
male,rural,written job contract: more than 1 year to 3 years,595,1682442548,2.6,53.5,52.0
female,urban,no written job contract,4355,7933763332,1.6,53.9,52.0
male,urban,no written job contract,11454,19971485317,1.4,63.0,62.0
female,urban,written job contract: more than 3 years,2827,4050808636,1.3,52.6,55.0
male,urban,written job contract: for 1 year or less,1582,3222871736,1.2,61.8,60.0
female,urban,written job contract: for 1 year or less,618,1080976441,1.1,56.3,54.5
male,urban,written job contract: more than 3 years,8037,12551665865,0.8,58.3,59.0
male,urban,written job contract: more than 1 year to 3 years,1492,2897295057,0.5,56.4,53.0
female,urban,written job contract: more than 1 year to 3 years,558,989082784,0.5,53.0,49.0
