sex,age_band,education_band,sector,sample_n,weighted_pop,raw_training_completed_pct,weighted_training_completed_pct
female,18-24,graduate+,urban,2691,4403126158,3.16,3.51
male,18-24,graduate+,urban,2352,4035443243,3.4,2.86
female,18-24,graduate+,rural,1830,5601702204,2.95,2.64
male,18-24,graduate+,rural,1734,5453720549,2.77,2.62
male,25-34,graduate+,rural,3342,9910532438,2.66,2.6
female,25-34,graduate+,urban,5369,9291178994,3.07,2.04
female,25-34,graduate+,rural,2611,8215331487,2.41,2.02
male,25-34,graduate+,urban,5516,9513183556,2.99,1.78
female,15-17,secondary_to_hs,urban,2529,3894333691,0.99,1.66
male,18-24,secondary_to_hs,urban,6717,9849538670,1.21,1.25
female,25-34,secondary_to_hs,urban,3856,6011408734,1.43,1.24
female,18-24,secondary_to_hs,rural,7469,19305068304,1.18,1.22
male,18-24,secondary_to_hs,rural,8443,21262209496,0.84,1.1
female,18-24,secondary_to_hs,urban,5882,8321436208,1.45,1.1
male,18-24,below_secondary,rural,4528,13992290902,0.68,0.87
female,15-17,secondary_to_hs,rural,3413,8666038158,0.59,0.85
male,18-24,below_secondary,urban,2662,4894412886,1.09,0.83
male,15-17,secondary_to_hs,urban,2556,4066712249,0.59,0.62
female,25-34,below_secondary,urban,4834,8641579577,0.52,0.54
male,15-17,secondary_to_hs,rural,3721,9029434762,0.4,0.5
female,18-24,below_secondary,rural,5030,15318314993,0.66,0.42
male,25-34,secondary_to_hs,rural,6226,14705160402,0.66,0.39
male,25-34,below_secondary,urban,4859,8888050016,0.72,0.37
male,25-34,secondary_to_hs,urban,4181,6248918129,0.79,0.35
female,25-34,secondary_to_hs,rural,5687,14259443105,0.67,0.34
female,15-17,below_secondary,urban,1843,2845187697,0.11,0.32
female,18-24,below_secondary,urban,1933,3515227708,0.57,0.32
male,25-34,below_secondary,rural,7967,25493394492,0.19,0.19
female,25-34,below_secondary,rural,10055,31500370245,0.22,0.13
female,15-17,below_secondary,rural,3456,9819583637,0.06,0.11
male,15-17,below_secondary,urban,2357,3623859683,0.13,0.09
male,15-17,below_secondary,rural,3996,11303696310,0.03,0.02
