enterprise_type,regular_m,no_leave_m,no_social_security_m,no_leave_pct,no_social_security_pct
proprietary: male,34.201,26.996,30.797,78.9,90.0
Public/Private limited company,26.066,6.328,5.012,24.3,19.2
Government/local body,19.158,3.01,4.101,15.7,21.4
"employer's households (i.e., private households employing maid servant, watchman, cook, etc.)",5.144,4.235,5.085,82.3,98.9
trust/other non-profit institutions,2.991,1.204,1.781,40.2,59.5
Public Sector Enterprises,1.347,0.304,0.346,22.6,25.7
partnership: with members from different household,1.071,0.62,0.71,57.9,66.3
proprietary: female,0.561,0.445,0.471,79.3,83.9
Co-operative societies,0.531,0.183,0.268,34.4,50.4
Autonomous Bodies,0.463,0.091,0.167,19.7,36.0
others,0.396,0.291,0.327,73.6,82.7
partnership: with members from same household,0.33,0.2,0.201,60.7,60.9
