State/UT,total_n,weekly_unemployed_n,total_w,weekly_unemployed_w,pct_weekly_unemployed
Chhattisgarh,812,96,2058449731,249188801,12.105653941762448
Andhra Pradesh,1450,164,4304644990,486968143,11.31262030042575
Uttarakhand,291,27,367540724,34413811,9.363264735801087
Kerala,1055,107,1799479773,159974250,8.890027684684622
Tamil Nadu,2347,187,6339539742,492235733,7.764534225393298
Madhya Pradesh,1231,80,4665337000,276312050,5.922660035062847
Haryana,685,40,1136987718,66068499,5.810836647929384
Uttar Pradesh,2178,124,8111806777,427345002,5.268185174376719
Rajasthan,853,57,2601952354,136845991,5.259358065862569
Maharashtra,3017,164,8582088299,443551766,5.168343071600457
Punjab,958,49,1443712973,74500817,5.160362093663891
West Bengal,2157,115,8300987572,335357222,4.03996776397053
Puducherry,109,6,63072014,2396704,3.7999484208638084
Gujarat,751,26,2470213542,77164847,3.123812807597344
Odisha,1330,42,3300924110,98397722,2.9809143961204247
Jharkhand,771,21,2122201935,40364867,1.9020276220792345
Telangana,667,10,1896725030,31802788,1.676721058507885
Himachal Pradesh,420,6,279779120,4249902,1.5190204329758419
Assam,1119,10,2627728361,35936502,1.3675881622073036
Karnataka,1473,20,5071015318,63350709,1.249270708671127
Bihar,1381,10,7217893032,35712397,0.49477592479788357
Nagaland,129,1,47697556,214545,0.4498029207198792
Tripura,495,2,283568319,295181,0.10409519689680144
Jammu & Kashmir,650,1,475533611,344826,0.07251348632851948
Meghalaya,737,0,408066952,,
Arunachal Pradesh,159,0,27600138,,
Manipur,299,0,46250926,,
Mizoram,148,0,14178502,,
