state,married_n,never_married_n,married_m,never_married_m,domestic_married_pct,domestic_never_married_pct,salaried_married_pct,salaried_never_married_pct,domestic_gap_pts,salaried_gap_pts
Chhattisgarh,109,65,0.231,0.119,69.7,6.2,8.3,40.0,63.6,-31.7
Andhra Pradesh,186,59,0.484,0.147,68.8,11.9,15.1,55.9,57.0,-40.9
Odisha,153,60,0.235,0.071,69.9,15.0,9.8,30.0,54.9,-20.2
Tamil Nadu,572,126,1.486,0.356,66.1,13.5,17.0,54.8,52.6,-37.8
Maharashtra,416,175,1.563,0.495,61.1,13.7,25.0,48.0,47.3,-23.0
Karnataka,242,91,0.68,0.315,64.9,20.9,24.0,50.5,44.0,-26.6
Jammu & Kashmir,132,121,0.086,0.09,41.7,3.3,15.2,21.5,38.4,-6.3
Madhya Pradesh,281,96,0.63,0.189,65.1,28.1,8.9,24.0,37.0,-15.1
Uttarakhand,126,50,0.191,0.032,49.2,14.0,12.7,38.0,35.2,-25.3
West Bengal,279,140,0.625,0.328,38.7,4.3,14.3,42.1,34.4,-27.8
Manipur,90,105,0.022,0.022,35.6,1.9,25.6,34.3,33.7,-8.7
Rajasthan,291,72,0.759,0.19,47.4,16.7,12.0,22.2,30.8,-10.2
Assam,133,62,0.205,0.082,36.8,6.5,20.3,35.5,30.4,-15.2
Uttar Pradesh,560,174,2.097,0.635,59.1,30.5,7.1,20.7,28.6,-13.5
Kerala,375,71,0.682,0.14,36.3,8.5,29.9,45.1,27.8,-15.2
Haryana,188,61,0.538,0.154,38.8,11.5,12.2,31.1,27.4,-18.9
Arunachal Pradesh,67,91,0.008,0.012,23.9,1.1,28.4,24.2,22.8,4.2
Punjab,165,76,0.281,0.122,24.2,6.6,14.5,35.5,17.7,-21.0
Meghalaya,53,75,0.016,0.022,9.4,0.0,45.3,34.7,9.4,10.6
